postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1087 LG Amsterdam;Eva Besnyöstraat 503;5.235.076;5.006.754;339000;101;323;1;2011;0;appartement;39;3
1094 RW Amsterdam;Minahassastraat 10 -A;5.236.017;4.933.796;250000;57;201;1;1981;1;appartement;39;3
1074 VH Amsterdam;Tolstraat 115 3;5.235.252;4.904.399;730000;137;444;2;1906;0;appartement;23;4
1074 CP Amsterdam;Tweede Jan Steenstraat 58 IV;5.235.627;4.901.217;469000;77;259;1;1889;0;appartement;20;3
1054 EG Amsterdam;Eerste Helmersstraat 100 C;5.236.277;4.871.921;650000;100;360;2;1885;1;appartement;19;4
1034 WC Amsterdam;Sonja Heniepad 2;5.240.432;4.917.765;289000;108;346;2;1994;0;appartement;16;4
1077 KM Amsterdam;Cornelis Dopperkade 7 5-A;5.234.416;4.876.229;389000;60;156;1;1955;0;appartement;26;2
1033 ZG Amsterdam;Circusplein 38;524.179;488.497;189000;68;200;1;1989;0;appartement;21;3
1054 WL Amsterdam;Wilhelminastraat 74 C;5.236.191;4.864.159;220000;36;100;1;1900;0;appartement;11;1
1107 XC Amsterdam;Wethouder Insingerstraat 58;522.924;498.452;167500;68;170;2;1985;0;appartement;26;3
1068 ZZ Amsterdam;Meer en Vaart 86 a;5.236.437;4.805.347;289000;95;300;1;2009;0;appartement;15;3
1068 PM Amsterdam;Oeverpad 488;523.638;480.847;325000;121;396;6;2004;0;appartement;26;3
1055 VX Amsterdam;Joris van Andringastraat 6 -II;523.779;4.860.696;425000;87;230;2;1934;1;appartement;29;3
1016 NB Amsterdam;Rozengracht 2 C;5.237.404;4.882.576;800000;128;450;2;1900;0;appartement;18;3
1017 WV Amsterdam;Sarphatikade 12 /A;5.235.923;4.903.636;2475000;270;900;2;1960;1;woonhuis;48;5
1056 JV Amsterdam;Willem de Zwijgerlaan 104 III;5.237.342;486.376;275000;56;148;1;1931;0;appartement;33;3
1082 JM Amsterdam;Van Nijenrodeweg 831;5.232.747;4.869.335;299000;85;284;1;1955;0;appartement;25;3
1057 WV Amsterdam;Marco Polostraat 94 -bov;5.236.769;4.856.532;369500;78;200;2;1929;0;appartement;19;3
